R/P/E,Transcript,Filename,Title,Publication,Date ,FullDate,Page,Summary,Notes,Page/Article,
P,TRUE,SullivanDemocrat-1-17-83.txt,Agents Wanted for Heroes of the Plains,Sullivan Democrat,"Jan. 17, 1883",1883-01-17,4,This is an advertisement that presents a need for heroes of the plains.,Contains the Wild Bill Image,A,
E,TRUE,LogansportChronicle-1-20-83.txt,N/A,Logansport Chronicle,"Jan. 20, 1883",1883-01-20,8,"The paper shows that Buffalo Bill performed at Windsor Hall in New York on January 20, 1883",,P,
E,TRUE,NewCastleMercury-1-27-83.txt,N/A,New Castle Mercury,"Jan. 27, 1883",1883-01-27,4,This article reports an incident when Buffalo Bill called a daughter of a widow.,,P,
E,TRUE,NewAlbanyLedger-1-30-83.txt,N/A,New Albany Ledger,"Jan. 30, 1883",1883-01-30,4,"Andy Zoeller stole two rifles from Buffalo Bill and a saw and axe from the J.M. & L. Railroad, resulting in his arrest. ",,P,
E,TRUE,NewAlbanyLedger-1-31-83.txt,A Young Highwayman,New Albany Ledger,"Jan. 31, 1883",1883-01-31,4,"This is a description about Andrew Zoellers, who was suspected by Chief Shindler to have stolen tools and Buffalo Bill's guns. ",,P,
E,TRUE,SaturdayEveningMail-2-3-83.txt,,Saturday Evening Mail ,"Feb. 3, 1883 ",1883-02-03,8,Buffalo Bill is down with pneumonia in NY,does it contain a graphic?,P,
E,TRUE,BrazilRegister-2-8-83.txt,N/A,Brazil Register,"Feb. 8, 1883",1883-02-08,2,The news reported on Buffalo Bill's illness in Newburg. ,,P,
E,TRUE,DailyWabashExpress-2-11-83.txt,,Daily Wabash Express ,"Feb. 11, 1883",1883-02-11,1,"Short comment on Buffalo Bill's profits, noting his talent being rewarded",,P,
E,TRUE,GoshenSemiWeeklyIndependent-2-21-83.txt,N/A,Goshen Semi Weekly Independent,"Feb. 21, 1883",1883-02-21,4,"A news item reported that a ""buffalo bill"" exists. ",,P,
P,TRUE,LogansportJournal-2-21-83.txt,N/A,Logansport Journal,"Feb. 21, 1883",1883-02-21,8,This news article announces the future visit of Buffalo Bill and his group in Logansport.,,P,
P,TRUE,FortWayneDailyGazette-2-23-83.txt,N/A,Fort Wayne Daily Gazette,"Feb. 23, 1883",1883-02-23,5,This presents an announcement of Buffalo Bill's future visit to Fort Wayne. ,,P,
E,TRUE,LogansportPharosTribune-2-24-83.txt,N/A,Logansport Pharos Tribune,"Feb. 24, 1883",1883-02-24,4,This article reports Buffalo Bill's performance at New Albany. ,,P,
E,TRUE,FortWayneSundayGazette-2-25-83.txt,N/A,Fort Wayne Sunday Gazette,"Feb. 25, 1883",1883-02-25,2, Buffalo Bill's was preparing for his summer tour across the United States to attract audiences. ,,P,
P,TRUE,FortWayneWeeklySentinel-2-28-83.txt,N/A,Fort Wayne Weekly Sentinel,"Feb. 28, 1883",1883-02-28,3,Fort Wayne will receive a visit from Buffalo Bill and his group during the year. ,,P,
P,TRUE,IndianapolisNews-3-2-83.txt,A Grand Combination ,Indianapolis News,"March 2, 1883",1883-03-02,2,Article quotes Dr. Carver on events and characters in upcoming season of Wild West show,,P,
P,TRUE,FortWayneSundayGazette-3-4-83.txt,"""The Golden West.""",Fort Wayne Sunday Gazette ,"March 4, 1883",1883-03-04,6,Dr. William F. Carver addressed to the public about his past experiences and partnership with Buffalo Bill and others. ,,P,
